;user;class;text;ts;key
803;Braddock;1;I've to take care of Élodie after 17:00;1489385768.399886;1489385768U0CNKFT0A
803;Braddock;1;therefore I've to leave the office at 16:15 today.;1489385768.399886;1489385768U0CNKFT0A
804;Balaemar;1;I have a visiting at my son's another possible school this late afternoon.;1489383754.2739642;1489383754U035FRUCY
804;Balaemar;1;I have to leave the office at 3pm;1489383754.2739642;1489383754U035FRUCY
805;Baegar;6;<@U035AASB8> I will be in Horgen tomorrow morning);1489338051.8747606;1489338051U035J4RG4
806;Braddock;8;Enjoy <@U035FRZHY> !;1489306205.841503;1489306205U0CNKFT0A
806;Braddock;8;And bring back good memories.;1489306205.841503;1489306205U0CNKFT0A
806;Braddock;8;:nyancat_big:;1489306205.841503;1489306205U0CNKFT0A
807;Torerne;2;I am on holidays until 3rd of April.;1489305127.813799;1489305127U035FRZHY
807;Torerne;8;Have a good time :flag-na::flag-za:;1489305127.813799;1489305127U035FRZHY
808;Kenning;8;ok take care of you;1489132608.8346221;1489132608U4CM3PGSH
809;Celtheon;5;I have a headache;1489131617.758627;1489131617U1RLS54MB
809;Celtheon;5;I'd rather stay home;1489131617.758627;1489131617U1RLS54MB
809;Celtheon;3;work from HO after it will go away.;1489131617.758627;1489131617U1RLS54MB
809;Celtheon;1;Probably after 11am;1489131617.758627;1489131617U1RLS54MB
810;Balaemar;3;i am in HO again;1489131351.738647;1489131351U035FRUCY
810;Balaemar;8;have an appointment in my sons new school in the afternoon.;1489131351.738647;1489131351U035FRUCY
810;Balaemar;1;I will be off around 3pm.;1489131351.738647;1489131351U035FRUCY
810;Balaemar;8;Wish you all a nice day (ski) weekend.;1489131351.738647;1489131351U035FRUCY
811;Olmomir;1;I'll be late ~30min;1489130291.661216;1489130291U0CN3AKDL
812;Vaerys;1;Will be about 30m late arrive around 9:15) need to pick a form from the Kreisburo;1489127642.495816;1489127642U0PLNK7EK
813;Myke;3;I'll be doing HO in the morning;1489124432.317626;1489124432U0MGNKETU
813;Myke;1;leave around noon to ski.;1489124432.317626;1489124432U0MGNKETU
813;Myke;8;Sorry for late notice.;1489124432.317626;1489124432U0MGNKETU
814;Maehagar;2;I won't be in the office tomorrow morning March 10);1489085468.387403;1489085468U278DLL2D
815;Mamon;2;I am taking the day off tomorrow i.e.;1489079502.3916721;1489079502U27727KK8
815;Mamon;8;March 10.;1489079502.3916721;1489079502U27727KK8
816;Olmomir;8;enjoy :slightly_smiling_face:;1489079304.359275;1489079304U0CN3AKDL
817;Maehagar;2;I'm on vacation from 13 to 26 March;1489079288.356535;1489079288U278DLL2D
817;Maehagar;2;so I won't be available for that period;1489079288.356535;1489079288U278DLL2D
818;Caenraenos;1;Even later apologies;1489065497.122079;1489065497U035AASB8
819;Caenraenos;1;Back in the office a bit later around 1400;1489059685.618421;1489059685U035AASB8
820;Galeris;3;i’ll continue working from home tonight;1488992290.000026;1488992290U036SKV77
820;Galeris;3;will be in home office tomorrow;1488992290.000026;1488992290U036SKV77
821;Braddock;1;I leave about 16:20 to pick up the car from the garage.;1488975853.000024;1488975853U0CNKFT0A
821;Braddock;3;I'll continue work when I'm home.;1488975853.000024;1488975853U0CNKFT0A
822;Darnor;6;ill be at SPS now in HO from 15:00;1488975817.0000231;1488975817U1D7Q9J8M
823;Balaemar;8;nope.;1488975021.000021;1488975021U035FRUCY
823;Balaemar;8;hatte schon verplant was sich leider grad erst gecancelt hat.;1488975021.000021;1488975021U035FRUCY
823;Balaemar;8;maybe next time;1488975021.000021;1488975021U035FRUCY
824;Olmomir;1;I will have to leave today at 17:00;1488974786.00002;1488974786U0CN3AKDL
824;Olmomir;3;I will be available again after 18:30.;1488974786.00002;1488974786U0CN3AKDL
825;Furrow;3;I'll do homeoffice tomorrow morning;1488968102.0000188;1488968102U3V31A9M0
825;Furrow;2;then I'm on holiday till Monday.;1488968102.0000188;1488968102U3V31A9M0
825;Furrow;8;I'll check my Mails occasionally.;1488968102.0000188;1488968102U3V31A9M0
826;Baegar;8;Balaemar: no ski-weekend?;1488967857.000017;1488967857U035J4RG4
827;Balaemar;3;I will be in HO tomorrow;1488967154.000016;1488967154U035FRUCY
827;Balaemar;3;"thursday) to have an eye on the kids in the afternoon
and I will be in HO on friday too.";1488967154.000016;1488967154U035FRUCY
827;Balaemar;1;I have to visit the new secondary school of my son in the afternoon - there I am off around 3pm;1488967154.000016;1488967154U035FRUCY
828;Barler;7;I'm coming to the office now.;1488963731.000015;1488963731U3LNBFS85
828;Barler;1;see you in 20min.;1488963731.000015;1488963731U3LNBFS85
829;Baegar;3;I will be in the HO in the afternoon.;1488962714.000014;1488962714U035J4RG4
829;Baegar;3;I will be reachable on all media until 17:00 by phone untill 18:30.;1488962714.000014;1488962714U035J4RG4
830;Darnor;1;Im running 15min late;1488959387.000013;1488959387U1D7Q9J8M
831;Barler;1;My bike got broken… so I needed to turn back home.;1488953516.00001;1488953516U3LNBFS85
831;Barler;3;I will start working from home this morning;1488953516.00001;1488953516U3LNBFS85
831;Barler;1;come to the office at lunch time.;1488953516.00001;1488953516U3LNBFS85
832;Joragni;2;Today is my scheduled day off.;1488951636.000009;1488951636U0K4J0613
832;Joragni;7;See you again on Thursday.;1488951636.000009;1488951636U0K4J0613
833;Myke;3;I'm doing HO tomorrow for few estimates tickets some bug fixing.;1488904055.000008;1488904055U0MGNKETU
833;Myke;5;Starting to feel a slight uneasiness with the changing weather.;1488904055.000008;1488904055U0MGNKETU
834;Tareneos;8;<@U4C4ZJYNS|Tareneos> has joined the channel;1488873050.000006;1488873050U4C4ZJYNS
835;Overton;1;I have to leave at 14:30 today;1488873025.000005;1488873025U0PSDKXHR
835;Overton;8;going to visit a few flats).;1488873025.000005;1488873025U0PSDKXHR
835;Overton;3;I will be back online in the evening to finish some work.;1488873025.000005;1488873025U0PSDKXHR
836;Caenraenos;8;Also at lawyers in the afternoon.;1488870463.0000038;1488870463U035AASB8
836;Caenraenos;1;In the office around 15:30;1488870463.0000038;1488870463U035AASB8
837;Caenraenos;3;Home office confirmed.;1488870412.000002;1488870412U035AASB8
838;Caenraenos;8;Still organizing regarding meetings;1488834867.000002;1488834867U035AASB8
838;Caenraenos;3;if possible I will do home office in the morning since my kids are sick.;1488834867.000002;1488834867U035AASB8
839;Celtaris;8;<@U2Q4H6S4E|TaegarysTahaegar> uploaded a file: <https://deepimpact.slack.com/files/TaegarysTahaegar/F4DV9NNPP/image_uploaded_from_ios.jpg|Image uploaded from iOS>;1488734747.0000038;1488734747U2Q4H6S4E
840;Celtaris;2;I am on vacation next week - warming up for the ski weekend.;1488734721.0000026;1488734721U2Q4H6S4E
840;Celtaris;8;Have a good week everyone!;1488734721.0000026;1488734721U2Q4H6S4E
841;Braddock;2;On Tuesday the 7th I've a day off.;1488713296.000002;1488713296U0CNKFT0A
842;Balaemar;1;I have to leave at 4:15pm today;1488530739.0000632;1488530739U035FRUCY
843;Maehagar;1;Will come half an hour later;1488526298.000062;1488526298U278DLL2D
843;Maehagar;1;- must visit the post office...;1488526298.000062;1488526298U278DLL2D
844;Baegar;6;<@U035AASB8> I will be in Horgen Today.;1488520781.000061;1488520781U035J4RG4
845;Myke;3;I'll be doing HO tomorrow;1488471199.0000598;1488471199U0MGNKETU
846;Vaerys;7;And I’m back;1488462965.000059;1488462965U0PLNK7EK
847;Bernareon;1;going home now;1488456905.000056;1488456905U035G74QE
847;Bernareon;8;will press the deploy button when I get home.;1488456905.000056;1488456905U035G74QE
847;Bernareon;8;if there is an emergency;1488456905.000056;1488456905U035G74QE
847;Bernareon;8;try to solve it.;1488456905.000056;1488456905U035G74QE
847;Bernareon;8;if you cannot solve it;1488456905.000056;1488456905U035G74QE
847;Bernareon;8;call me :sunglasses:;1488456905.000056;1488456905U035G74QE
848;Torerne;8;Thursday?;1488456365.000054;1488456365U035FRZHY
848;Torerne;8;:panic_button:;1488456365.000054;1488456365U035FRZHY
849;Darnor;7;Same for me will be back on Thursday.;1488455707.000053;1488455707U1D7Q9J8M
850;Galeris;1;I’ll head home after lunch;1488455204.000052;1488455204U036SKV77
850;Galeris;8;need some sleep;1488455204.000052;1488455204U036SKV77
850;Galeris;3;if anything important comes up let me know I can work from home;1488455204.000052;1488455204U036SKV77
851;Kenning;8;<@U4CM3PGSH|Stanlerk> has joined the channel;1488449527.00005;1488449527U4CM3PGSH
852;Olmomir;3;I will continue to work from home after lunch;1488445010.000043;1488445010U0CN3AKDL
853;Vaerys;4;I will be away between 1:30pm 3:00pm doctor’s appointment) will then continue working from home from 3pm;1488444963.000042;1488444963U0PLNK7EK
854;Bernareon;1;ah yes gonna be late go home after the deployment on lunch.;1488439516.000041;1488439516U035G74QE
855;Galeris;1;hya all just finished the last merge - will probably be in the office around 10 so;1488424289.00004;1488424289U036SKV77
856;Maehagar;1;will come at ~9:30-10:00 - had to import some data a bit later this night;1488419689.000039;1488419689U278DLL2D
857;Joragni;2;Today is my scheduled day off.;1488347975.000032;1488347975U0K4J0613
857;Joragni;7;See you again on Thursday.;1488347975.000032;1488347975U0K4J0613
858;Taegarys;8;<!channel> Thank you very much for the farewell card.;1488300542.0000038;1488300542U25T408CS
858;Taegarys;8;"I appreciate it :slightly_smiling_face: 
I’ll be back again on March 7th for one day - apparently sweets included :cake: :cookie: - to handover Dealestate";1488300542.0000038;1488300542U25T408CS
858;Taegarys;8;to say goodbye!;1488300542.0000038;1488300542U25T408CS
858;Taegarys;8;Meanwhile good luck cross fingers for SPS Libra.;1488300542.0000038;1488300542U25T408CS
858;Taegarys;8;Catch you later Reto;1488300542.0000038;1488300542U25T408CS
859;Celtaris;1;I will leave after 17:00 tonight;1488284683.0000026;1488284683U2Q4H6S4E
859;Celtaris;3;I will be in HO later.;1488284683.0000026;1488284683U2Q4H6S4E
859;Celtaris;4;Tomorrow morning I have an appointment at the dentist;1488284683.0000026;1488284683U2Q4H6S4E
859;Celtaris;1;so I will be in the office around 09:15.;1488284683.0000026;1488284683U2Q4H6S4E
860;Myke;1;The train is 10 min late in Zürich;1488265614.000002;1488265614U0MGNKETU
860;Myke;1;I might be delayed too.;1488265614.000002;1488265614U0MGNKETU
861;Braddock;4;Tuesday at 9:45 I go to the fysio for 30 minutes;1488240870.000031;1488240870U0CNKFT0A
862;Balaemar;1;I will be late for the weekly.;1488179353.00003;1488179353U035FRUCY
862;Balaemar;8;Had some trouble with the car.;1488179353.00003;1488179353U035FRUCY
863;Baegar;3;I will be in the HO on Tuesday Afternoon on Wednesday.;1488147772.0000286;1488147772U035J4RG4
864;Ryswell;2;This week my day off is tomorrow instead of Friday;1488125977.000028;1488125977U2777Q7E3
865;Styrund;8;<@U036U40UC|Styrund> uploaded a file: <https://deepimpact.slack.com/files/Styrund/F4AMS804E/butwhy.gif|butWhy.gif>;1487947421.000027;1487947421U036U40UC
866;Furrow;1;I have to leave earlier today.;1487945541.000026;1487945541U3V31A9M0
866;Furrow;3;But continuous working in the train also available til 17.30;1487945541.000026;1487945541U3V31A9M0
867;Gaelralis;8;On Monday Tuesday mornings I have to open the doors of the flat in Zürich at 8:00.;1487935041.000025;1487935041U0HLAK1T6
867;Gaelralis;1;I might be late for the weekly.;1487935041.000025;1487935041U0HLAK1T6
868;Torerne;5;Reto got the flu aus well;1487934556.000024;1487934556U035FRZHY
868;Torerne;5;is therefore staying at home;1487934556.000024;1487934556U035FRZHY
869;Myke;5;I'm waking up not feeling well today;1487922507.0000231;1487922507U0MGNKETU
869;Myke;5;feeling a little dizzy mild fever.;1487922507.0000231;1487922507U0MGNKETU
869;Myke;3;I'll work from home to support Chris with the 12.5.1 release today if needed look at the CR for 13.0;1487922507.0000231;1487922507U0MGNKETU
870;Maehagar;1;Missed the train today;1487921763.0000222;1487921763U278DLL2D
870;Maehagar;1;will be late for the daily;1487921763.0000222;1487921763U278DLL2D
871;Barler;3;As I already mentioned yesterday I am working at home today;1487921392.000021;1487921392U3LNBFS85
872;Eliar;4;I'll have to leave at 15:45 today because of a doctor's appointment.;1487916863.00002;1487916863U0A8NPHRD
872;Eliar;8;Afterwards I'm available via Slack.;1487916863.00002;1487916863U0A8NPHRD
873;Braddock;8;I will work in the morning maximal focussed;1487907293.0000188;1487907293U0CNKFT0A
873;Braddock;8;concentrated some hours at home;1487907293.0000188;1487907293U0CNKFT0A
873;Braddock;7;will be in the office in the afternoon.;1487907293.0000188;1487907293U0CNKFT0A
874;Vaerys;5;Still have infection headache will be home tomorrow lest I spread it round.;1487879820.000018;1487879820U0PLNK7EK
874;Vaerys;7;See you folks on Monday;1487879820.000018;1487879820U0PLNK7EK
875;Overton;5;Still not feeling too well;1487876720.000017;1487876720U0PSDKXHR
875;Overton;7;will be in the office tomorrow.;1487876720.000017;1487876720U0PSDKXHR
876;Barler;1;I need to leave early for lunch 11:15) will be back at 12:45;1487835516.000016;1487835516U3LNBFS85
877;Joragni;1;I'm taking a long lunch break today.;1487832577.000015;1487832577U0K4J0613
877;Joragni;8;Reto Thomas Sam are already informed.;1487832577.000015;1487832577U0K4J0613
878;Braddock;4;I've to go to the fysio orto team today at 11:00 15:30 respectively.;1487831794.000014;1487831794U0CNKFT0A
878;Braddock;8;It takes about 45 minutes each.;1487831794.000014;1487831794U0CNKFT0A
879;Vaerys;5;Not feeling much better;1487798746.000013;1487798746U0PLNK7EK
879;Vaerys;5;will be at home tomorrow again;1487798746.000013;1487798746U0PLNK7EK
880;Celtaris;1;I will have to leave a bit earlier today 17.00) will be in HO later.;1487766161.000012;1487766161U2Q4H6S4E
881;Barler;3;Because I need to leave early on friday I would like to do HO then.;1487752160.00001;1487752160U3LNBFS85
881;Barler;8;Any objections?;1487752160.00001;1487752160U3LNBFS85
882;Furrow;6;Gianni I are at NAB today;1487743282.000009;1487743282U3V31A9M0
883;Joragni;2;Today is my scheduled day off.;1487741406.000008;1487741406U0K4J0613
883;Joragni;7;See you again on Thursday.;1487741406.000008;1487741406U0K4J0613
884;Vaerys;5;Still sick will stay at home;1487741134.000007;1487741134U0PLNK7EK
885;Baegar;6;<@U035AASB8> an me will be @BN tomorrow morning until about 15:00;1487710458.000006;1487710458U035J4RG4
885;Baegar;3;after that i will be @HO.;1487710458.000006;1487710458U035J4RG4
886;Myke;8;I've just received a note asking me to collect my permit so I'll have to drop by the immigration tomorrow.;1487705770.000005;1487705770U0MGNKETU
886;Myke;1;I'll be about an hour late in the office.;1487705770.000005;1487705770U0MGNKETU
886;Myke;8;Sorry for the late notice.;1487705770.000005;1487705770U0MGNKETU
887;Taegarys;1;I am off now;1487676353.0000038;1487676353U25T408CS
888;Furrow;4;I have a medical appointment;1487659260.0000026;1487659260U3V31A9M0
888;Furrow;1;I'll be at the office later today.;1487659260.0000026;1487659260U3V31A9M0
888;Furrow;8;Please check if there is someone attending the phone;1487659260.0000026;1487659260U3V31A9M0
888;Furrow;8;because Fabio isn't at the office as well).;1487659260.0000026;1487659260U3V31A9M0
888;Furrow;8;Thanks.;1487659260.0000026;1487659260U3V31A9M0
889;Vaerys;5;I’ve got the flu;1487655967.000002;1487655967U0PLNK7EK
889;Vaerys;5;I will be staying at home;1487655967.000002;1487655967U0PLNK7EK
890;Overton;5;I'm still not feeling even slightly better;1487628320.000007;1487628320U0PSDKXHR
890;Overton;8;was not able to attend university this evening).;1487628320.000007;1487628320U0PSDKXHR
890;Overton;5;So I will stay at home again tomorrow.;1487628320.000007;1487628320U0PSDKXHR
891;Taegarys;2;I’ll be having 1/2 day off tomorrow afternoon;1487582797.000006;1487582797U25T408CS
891;Taegarys;3;will therefore work from home in the morning.;1487582797.000006;1487582797U25T408CS
891;Taegarys;3;I’ll be doing HO on Wednesday.;1487582797.000006;1487582797U25T408CS
892;Gaelralis;8;i must go in town for adminitrative stuff.;1487581718.000005;1487581718U0HLAK1T6
893;Mamon;1;I will be in the office around 11 am today.;1487574624.0000038;1487574624U27727KK8
894;Barler;1;I need to leave earlier on friday around 15:00);1487574399.0000026;1487574399U3LNBFS85
895;Overton;5;I got the flu over the weekend;1487571181.000002;1487571181U0PSDKXHR
895;Overton;5;I will not come to work today.;1487571181.000002;1487571181U0PSDKXHR
896;Maehagar;1;I'll be a couple of minutes late to the daily;1487316384.0000038;1487316384U278DLL2D
897;Myke;3;I'm on home office today.;1487316371.0000026;1487316371U0MGNKETU
898;Balaemar;8;My backache are worse since the moving yesterday.;1487312135.000002;1487312135U035FRUCY
898;Balaemar;3;I will be in HO today;1487312135.000002;1487312135U035FRUCY
898;Balaemar;4;maybe go to the doctor later.;1487312135.000002;1487312135U035FRUCY
899;Braddock;2;As announced I am away on Friday Monday.;1487261317.00003;1487261317U0CNKFT0A
899;Braddock;7;I will be back on Tuesday.;1487261317.00003;1487261317U0CNKFT0A
899;Braddock;8;You can reach me by phone.;1487261317.00003;1487261317U0CNKFT0A
900;Myke;3;I'll be doing HO tomorrow;1487259559.0000286;1487259559U0MGNKETU
901;Celtaris;1;I will have to leave a bit earlier today 17.10) will be in HO later.;1487167341.000028;1487167341U2Q4H6S4E
901;Celtaris;3;And I will be in HO tomorrow afternoon.;1487167341.000028;1487167341U2Q4H6S4E
902;Mamon;1;Very foggy this morning - slow driving - I may be a little late.;1487143046.000027;1487143046U27727KK8
903;Joragni;2;Today is my scheduled day off.;1487135804.000026;1487135804U0K4J0613
903;Joragni;7;See you again on Thursday.;1487135804.000026;1487135804U0K4J0613
904;Vaerys;3;I’ll be doing HO tomorrow;1487087120.000025;1487087120U0PLNK7EK
905;Styrund;8;<@U036U40UC|Styrund> uploaded a file: <https://deepimpact.slack.com/files/Styrund/F4595L1UM/what.gif|what.gif>;1487077372.000021;1487077372U036U40UC
906;Overton;4;I will have to leave at 17:00 because of physio.;1487074514.000017;1487074514U0PSDKXHR
907;Braddock;4;I have to go to the ortho specialist early morning.;1487058292.000016;1487058292U0CNKFT0A
907;Braddock;1;I will be a bit later in the office.;1487058292.000016;1487058292U0CNKFT0A
908;Balaemar;3;I am in HO today;1487053623.000015;1487053623U035FRUCY
909;Braddock;1;I have to rush home.;1486998285.000014;1486998285U0CNKFT0A
909;Braddock;8;Apparently the floor heating leaks water;1486998285.000014;1486998285U0CNKFT0A
909;Braddock;8;the neighbours downstairs complain that it is raining inside the house.;1486998285.000014;1486998285U0CNKFT0A
909;Braddock;3;I’ll continue working at home.;1486998285.000014;1486998285U0CNKFT0A
910;Gaelralis;1;i have to leave now to do some private stuff.;1486998269.000013;1486998269U0HLAK1T6
910;Gaelralis;3;will do HO tonight.;1486998269.000013;1486998269U0HLAK1T6
911;Balaemar;8;Me too.;1486997619.000012;1486997619U035FRUCY
911;Balaemar;3;HO tomorrow;1486997619.000012;1486997619U035FRUCY
912;Taegarys;3;I’ll be doing HO tomorrow;1486996532.000011;1486996532U25T408CS
913;Eliar;1;I'll have to leave a bit earlier today ca 16:45) I'm available afterwards.;1486995811.00001;1486995811U0A8NPHRD
914;Mamon;5;I have become sick flu) over the weekend I am still feeling unwell.;1486969982.000009;1486969982U27727KK8
914;Mamon;5;I will stay home today to recover.;1486969982.000009;1486969982U27727KK8
914;Mamon;3;I may do some HO later in the afternoon if I start feeling better.;1486969982.000009;1486969982U27727KK8
915;Vaerys;8;Welcome back married boy :slightly_smiling_face:;1486914583.0000026;1486914583U0PLNK7EK
916;Olmomir;7;I’m back :wave:;1486910886.000002;1486910886U0CN3AKDL
916;Olmomir;7;tomorrow will be in office :aw_yeah:.;1486910886.000002;1486910886U0CN3AKDL
917;Ryswell;7;I will be in office next Friday;1486746749.000247;1486746749U2777Q7E3
917;Ryswell;2;will be off on Monday;1486746749.000247;1486746749U2777Q7E3
918;Overton;2;Next week I’m not in the office on Monday Wednesday.;1486741001.000246;1486741001U0PSDKXHR
919;Caenraenos;6;I will be at BANK-now again in the morning hopefully in the office for the afternoon.;1486592127.0002446;1486592127U035AASB8
920;Celtaris;1;I will be leaving a bit earlier today 17.10) will be in HO later.;1486559629.000244;1486559629U2Q4H6S4E
921;Gaelralis;2;tomorrow i will be absent for my moving in winterthur.;1486544111.000243;1486544111U0HLAK1T6
921;Gaelralis;7;there are good chances that I will be in the office in the afternoon.;1486544111.000243;1486544111U0HLAK1T6
922;Joragni;7;By exception I'm here today.;1486542293.000242;1486542293U0K4J0613
923;Braddock;6;This morning I go to Stefan @ ZHAW in Wädenswil;1486538891.000241;1486538891U0CNKFT0A
923;Braddock;7;expect to be back somewhere in the afternoon.;1486538891.000241;1486538891U0CNKFT0A
924;Mamon;1;I will be in the office around 11 today.;1486536932.00024;1486536932U27727KK8
925;Caenraenos;6;I am at BANK-now from 1000;1486485374.0002394;1486485374U035AASB8
925;Caenraenos;3;will be doing home office prior to that so not in the office tomorrow.;1486485374.0002394;1486485374U035AASB8
927;Styrund;8;<@U036U40UC|Styrund> uploaded a file: <https://deepimpact.slack.com/files/Styrund/F424Z3ETW/haha1.gif|haha1.gif>;1486478779.000236;1486478779U036U40UC
928;Styrund;8;Hi Back I’m Markus;1486478734.0002348;1486478734U036U40UC
929;Vaerys;7;I am back;1486476848.000234;1486476848U0PLNK7EK
930;Braddock;1;Sorry I had to leave unexpected early today.;1486473381.000233;1486473381U0CNKFT0A
930;Braddock;3;I'll continue my daily work later in the afternoon from home.;1486473381.000233;1486473381U0CNKFT0A
931;Gaelralis;1;i am 1-2 hours away for the new appartment.;1486472606.000232;1486472606U0HLAK1T6
932;Vaerys;1;No oops sorry - the appointment has been moved to 1:45 - so I will be off for lunch;1486457812.000231;1486457812U0PLNK7EK
932;Vaerys;3;then continue working from home after the appointment;1486457812.000231;1486457812U0PLNK7EK
933;Vaerys;4;I will need to leave around 4:30 today appointment with an ophthalmologist;1486456799.000229;1486456799U0PLNK7EK
934;Joragni;6;I'll be travelling to from be at BANK-now in Horgen this afternoon.;1486454039.000228;1486454039U0K4J0613
935;Styrund;4;I’ve forgot that my wife has a dentist appointment this morning;1486450040.000227;1486450040U036U40UC
935;Styrund;1;i may not make it on time for the daily;1486450040.000227;1486450040U036U40UC
936;Styrund;8;the unkown reason is an accident in Winterthur.;1486450006.000226;1486450006U036U40UC
936;Styrund;8;The whole main station is closed down :wink:;1486450006.000226;1486450006U036U40UC
937;Furrow;1;My train is canceled from St.Gallen because of unknown reason.;1486449745.000225;1486449745U3V31A9M0
937;Furrow;1;Hope to be in the office at 08.45.;1486449745.000225;1486449745U3V31A9M0
938;Balaemar;8;Good morning.;1486447893.000224;1486447893U035FRUCY
938;Balaemar;3;I am in HO today;1486447893.000224;1486447893U035FRUCY
939;Vaerys;8;Oh thanks for the update Paul!;1486446577.0002232;1486446577U0PLNK7EK
939;Vaerys;8;Let me see what the train timings are;1486446577.0002232;1486446577U0PLNK7EK
940;Joragni;8;The SBB tracks between Effretikon Winterthur have been taken out of service indefinitely because of a train collision.;1486446253.000222;1486446253U0K4J0613
940;Joragni;8;I wasn't affected;1486446253.000222;1486446253U0K4J0613
940;Joragni;8;I'm writing this at work);1486446253.000222;1486446253U0K4J0613
940;Joragni;8;any one taking the train from Zürich area to work can be expected to be delayed.;1486446253.000222;1486446253U0K4J0613
941;Torerne;3;I am in home office tomorrow morning;1486401894.000221;1486401894U035FRZHY
942;Gaelralis;7;and back.;1486389685.0002198;1486389685U0HLAK1T6
942;Gaelralis;8;:slightly_smiling_face:;1486389685.0002198;1486389685U0HLAK1T6
943;Taegarys;3;I’ll be doing home office tomorrow.;1486389403.0002189;1486389403U25T408CS
944;Darnor;6;at Holcim for the rest of the day;1486388836.000218;1486388836U1D7Q9J8M
945;Balaemar;3;Tomorrow I am in HO;1486386164.000217;1486386164U035FRUCY
946;Gaelralis;1;i am away for 2 hours.;1486382020.000216;1486382020U0HLAK1T6
947;Mamon;1;Stuck in the traffic.;1486366285.000215;1486366285U27727KK8
948;Joragni;7;I'm back from my holiday;1486364359.000214;1486364359U0K4J0613
949;Baegar;1;i'm going to leave a bit earlier today 17:00).;1486120257.0002134;1486120257U035J4RG4
950;Ryswell;2;I am not in office on Monday because I switched the day;1486119256.000212;1486119256U2777Q7E3
950;Ryswell;7;I will be in office next Friday instead;1486119256.000212;1486119256U2777Q7E3
951;Styrund;8;<@U036U40UC|Styrund> uploaded a file: <https://deepimpact.slack.com/files/Styrund/F3Z90UH7A/butwhy.gif|butWhy.gif>;1486038368.000211;1486038368U036U40UC
952;Overton;2;I’m not in the office on monday.;1486037649.00021;1486037649U0PSDKXHR
953;Caenraenos;8;Thanks guys fingers crossed..;1486031399.000209;1486031399U035AASB8
954;Styrund;8;<@U036U40UC|Styrund> uploaded a file: <https://deepimpact.slack.com/files/Styrund/F40K3HZCP/deploy24.gif|At the Red Light>;1486030428.000208;1486030428U036U40UC
955;Mamon;8;Good luck!;1486030282.000207;1486030282U27727KK8
956;Caenraenos;8;Thanks everyone!;1486030243.000206;1486030243U035AASB8
956;Caenraenos;8;:sweat_smile:;1486030243.000206;1486030243U035AASB8
957;Jaereron;8;:slightly_smiling_face: good luck !;1486030017.000205;1486030017U035G5WMS
958;Galeris;8;<https://media.giphy.com/media/MSf1b3vZVcvfi/giphy.gif>;1486029976.000203;1486029976U036SKV77
959;Caenraenos;8;lol thanks!;1486029975.000202;1486029975U035AASB8
959;Caenraenos;8;:blue_car:;1486029975.000202;1486029975U035AASB8
960;Bernareon;8;Good luck dude happy drifting!;1486029904.000201;1486029904U035G74QE
960;Bernareon;8;:sunglasses:;1486029904.000201;1486029904U035G74QE
961;Vaerys;8;All the best <@U035AASB8>;1486029874.0002;1486029874U0PLNK7EK
962;Caenraenos;1;I am off for longer than usual over lunch;1486029845.000199;1486029845U035AASB8
962;Caenraenos;8;driving exam): 1130 to 1430;1486029845.000199;1486029845U035AASB8
963;Styrund;3;I’ll be doing HO on Monday 6.;1485957447.0001972;1485957447U036U40UC
963;Styrund;8;Feb. in the afternoon;1485957447.0001972;1485957447U036U40UC
964;Taegarys;3;I’ll be doing HO tomorrow;1485953465.000196;1485953465U25T408CS
965;Caenraenos;1;I will be offline from 13:45 to 15:15;1485865268.000195;1485865268U035AASB8
966;Maehagar;3;"I'd like do HO tomorrow morning to wait for the plumber; will come to the office in the afternoon right after lunch";1485856488.0001938;1485856488U278DLL2D
967;Mamon;1;Very slow driving today.;1485847151.0001929;1485847151U27727KK8
967;Mamon;1;I most likely will not make it to the daily.;1485847151.0001929;1485847151U27727KK8
968;Styrund;8;have fun greetings best wishes for the Brautpaar :slightly_smiling_face:;1485760570.000192;1485760570U036U40UC
969;Torerne;2;<@U035B8PRU> <@U035G74QE> <@U278DLL2D>  <@U1D7Q9J8M> I are in Montenegro today tomorrow for Luans Wedding.;1485758361.000191;1485758361U035FRZHY
970;Joragni;2;30 January - 3 February I'm taking scheduled holidays.;1485534342.00019;1485534342U0K4J0613
970;Joragni;7;See you again on Monday 6 February;1485534342.00019;1485534342U0K4J0613
971;Braddock;1;Today I’ve to leave around 15:30;1485418916.000188;1485418916U0CNKFT0A
971;Braddock;3;will continue to work at home.;1485418916.000188;1485418916U0CNKFT0A
972;Maehagar;2;I'd like to take the Thursday morning to find complete some discussions with my homeowner which for some reason refuses to communicate since the last year...;1485358615.000187;1485358615U278DLL2D
973;Darnor;6;I will be at SPS the whole day tomorrow available between 11:30 15:00;1485358377.000186;1485358377U1D7Q9J8M
974;Celtaris;6;<@U035J4RG4> I will be at Bank-now tomorrow morning;1485357294.000185;1485357294U2Q4H6S4E
974;Celtaris;8;Tracking Workshop);1485357294.000185;1485357294U2Q4H6S4E
974;Celtaris;7;we will be back around 14:00.;1485357294.000185;1485357294U2Q4H6S4E
975;Braddock;2;I have an afternoon off today.;1485337980.000184;1485337980U0CNKFT0A
975;Braddock;7;See you all on Thursday.;1485337980.000184;1485337980U0CNKFT0A
976;Gaelralis;2;I will be absent on Thursday morning: a friend needs help for something.;1485337394.000183;1485337394U0HLAK1T6
